"* Required Fields","* Erforderliche Felder"
"-- No Status Change --","-- Keine Statusänderung --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentifikation"
"3D Secure failed","3D Secure ist fehlgeschlagen."
"3D Secure sucess","3D Secure erfolgreich"
"A authorized transaction cannot be authorized again.","Eine autorisierte Transaktion kann nicht noch einmal autorisiert werden."
"A authorized transaction cannot be marked as failed.","Eine autorisierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"A cancelled transaction cannot be authorized.","Eine stornierte Transaktion kann nicht autorisiert werden."
"A cancelled transaction cannot be cancelled again.","Eine stornierte Transaktion kann nicht noch einmal storniert werden."
"A cancelled transaction cannot be captured.","Eine stornierte Transaktion kann nicht verbucht werden."
"A cancelled transaction cannot be marked as failed.","Eine stornierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"A cancelled transaction cannot be refunded.","Eine stornierte Transaktion kann nicht gutgeschrieben werden."
"A captured transaction cannot be authorized.","Eine gebuchte Transaktion kann nicht autorisiert werden."
"A captured transaction cannot be cancelled.","Eine gebuchte Transaktion kann nicht storniert werden."
"A captured transaction cannot be marked as failed.","Eine verbuchte Transaktion kann nicht als fehlgeschlagen markiert werden."
"A failed authorization cannot be authorized.","Eine fehlgeschlagene Transaktion kann nicht autorisiert werden."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Manche Zahlungsmethoden sind für gewisse Länder nicht erlaubt. Hier können Sie definieren zu welchem Zeitpunkt der Verfügbarkeits-Check durchgeführt werden soll. Wir empfehlen 'Während der Autorisierung'."
"A refund was added over !amount.","Eine Gutschrift über '!amount' wurde hinzugefügt."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Eine Transaktion kann unsicher sein wenn die Bezahlung nicht garantiert ist. Zum Beispiel wenn die Kreditkarte nicht Teil des 3D Secure Prozesses ist."
"AVS data is invalid or AVS is not allowed for this card type.","AVS Angabe ungültig oder AVS ist für diesen Kartentyp nicht erlaubt"
"About","Über"
"Account Holder Name","Kontoinhaber"
"Account owner name.","Kontoinhaber"
"Action","Aktion"
"Actions","Aktionen"
"Activate","Aktiv"
"Activate the payment method and test.","Aktivieren Sie die Zahlungsmethode und testen Sie sie."
"Active","Aktiv"
"Additional Information","Zusätzliche Informationen"
"Address Verification Result","Resultat der Adressverifizierung"
"Address information unavailable. Returned if the U.S. bank does not support non-U.S. AVS or if the AVS in a U.S. bank is not functioning properly.","Adressinformationen stehen nicht zur Verfügung (In der Regel der Fall falls die US Bank non-US AVS nicht akzeptiert oder die AVS in einer US Bank nicht korrekt funktioniert)."
"Address not verified.","Adresse nicht verifiziert"
"Adjust Qty","Anzahl anpassen"
"Adjustment Discount","Korrektur-Ermässigung"
"Adjustment Fee","Bearbeitungsgebühr"
"After payment selection","Nach der Wahl der Zahlungsmethode"
"After selecting the payment method","Nach der Auswahl der Zahlungsmethode"
"Ajax authorization not supported.","Ajax-Autorisierung wird nicht unterstützt."
"Alias","Alias"
"Alias For Display","Beispiel-Alias"
"Alias Manager Account","Alias Manager"
"All Customers","Alle Kunden"
"Allowed Currencies","Erlaubte Währungen"
"Allowed currencies for this payment method","Erlaubte Währungen für diese Zahlungsmethode"
"Already registered?","Bereits registriert?"
"Always Checkout as Guest","Immer als Gast auschecken"
"American Express","American Express"
"Amount","Betrag"
"Amount Incl. Tax","Betrag inkl. Steuern"
"An SVG image (scalability) provided by the merchant. The image needs to be uploaded by using the Datatrans Web Administration Tool.","Sie haben die Möglichkeit ein Bild im .svg Format im Backend von Datatrans hochzuladen."
"An error ocurred.","Ein Fehler ist aufgetreten."
"Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten?"
"Author","Autor"
"Authorization Amount","Autorisierungsbetrag"
"Authorization Failed","Autorisierung fehlgeschlagen"
"Authorization Method","Autorisierungsmethode"
"Authorization Number","Autorisierungsnummer"
"Authorization Status","Autorisierungsstatus"
"Authorization is uncertain.","Autorisierung ist unsicher"
"Authorized Status","Autorisationsstatus"
"Await Notification","Benachrichtigung abwarten"
"Awaiting confirmation","Warten auf die Bestätigung"
"BIC","BIC"
"Bad signature format.","Das Format der Signatur ist fehlerhaft"
"Bank Location","Bank Standort"
"Bank Name","Name der Bank"
"Bank account number","Bankkonto"
"Bank code number","Bankcodenummer"
"Bank does not support AVS.","Die Bank unterstützt den AVS nicht"
"Before payment selection","Vor der Wahl der Zahlungsmethode"
"Before showing the payment method","Vor Auswahl der Zahlungsmethode"
"Billing Address","Rechnungsadresse"
"Billing Information","Rechnungsinformationen"
"Billing address","Billing address"
