"* Required Fields","* Champs requis"
"-- No Status Change --","-- Pas de changement de statut --"
"3D Secure","3D Secure"
"3D Secure Authentication","Authentification 3D Secure"
"3D Secure failed","3D Secure a échoué."
"3D Secure sucess","3D Secure avec succès"
"A authorized transaction cannot be authorized again.","Une transaction autorisée ne peut pas être autorisée à nouveau."
"A authorized transaction cannot be marked as failed.","Une transaction autorisée ne peut pas être marquée comme échouée"
"A cancelled transaction cannot be authorized.","Une transaction annulée ne peut pas être autorisée."
"A cancelled transaction cannot be cancelled again.","Une transaction annulée ne peut pas être annulée à nouveau."
"A cancelled transaction cannot be captured.","Une transaction annulée ne peut pas être comptabilisée"
"A cancelled transaction cannot be marked as failed.","Une transaction annulée ne peut pas être marquée comme échouée."
"A cancelled transaction cannot be refunded.","Une autorisation annulée ne peut pas être remboursée."
"A captured transaction cannot be authorized.","Une transaction comptabilisée ne peut pas être autorisée."
"A captured transaction cannot be cancelled.","Une transaction comptabilisée ne peut pas être annulée."
"A captured transaction cannot be marked as failed.","Une transaction comptabilisée ne peut pas être marquée comme échouée"
"A failed authorization cannot be authorized.","Une transaction échouée ne peut pas être autorisée."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Certains modes de paiement ne sont pas disponible pour des pays spécifiques. Définissez l'instant dans lequel vous voulez que le contrôle de disponibilité soit fait. Nous recommendons séléctionner 'Pendant l'autorisation'."
"A refund was added over !amount.","Un remboursement de !amount a été ajouté."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Une transaction peut être incertaine si le paiement n'est pas garanti. Par example, si la carte de crédit ne fait pas partie du processus 3D secure."
"AVS data is invalid or AVS is not allowed for this card type.","AVS n'est pas valable ou AVS n'est pas permis pour cette type de carte."
"About","À propos de nous"
"Account Holder Name","Nom du titulaire du compte"
"Account owner name.","Nom du titulaire du compte"
"Action","Action"
"Actions","Actions"
"Activate","Activé"
"Activate the payment method and test.","Activez le mode de paiement et testez le."
"Active","Activé"
"Additional Information","Informations complémentaires"
"Address Verification Result","Résultat de la vérification de l'adresse"
"Address information unavailable. Returned if the U.S. bank does not support non-U.S. AVS or if the AVS in a U.S. bank is not functioning properly.","Les informations d'adresse ne sont pas disponibles. Renvoyé si la banque américaine n'accepte pas les AVS non-US ou si l'AVS ne fonctionne pas correctement dans une banque américaine."
"Address not verified.","L'adresse n'a pas pu été vérifiée."
"Adjust Qty","Ajuster la quantité"
"Adjustment Discount","Ajustement des rabais"
"Adjustment Fee","Frais d'ajustement"
"After payment selection","Après la sélection du mode de paiement"
"After selecting the payment method","Après avoir sélectionné le mode de paiement"
"Ajax authorization not supported.","Autorisation Ajax pas possible."
"Alias","Alias"
"Alias For Display","Alias pour l'affichage"
"Alias Manager Account","One Click Checkout (Alias Manager)"
"All Customers","Tous les clients"
"Allowed Currencies","Devises autorisés"
"Allowed currencies for this payment method","Devises autorisées pour cette méthode de paiement"
"Already registered?","Déjà inscrit?"
"Always Checkout as Guest","Toujours commander en tant qu'invité"
"American Express","American Express"
"Amount","Montant"
"Amount Incl. Tax","Montant Incl. Impôt"
"An SVG image (scalability) provided by the merchant. The image needs to be uploaded by using the Datatrans Web Administration Tool.","Une image SVG (scalable) fournie par le marchand. L'image doit être téléchargé à l'aide de l'outil d'administration Web Datatrans."
"An error ocurred.","Une erreur est survenue."
"Are you sure you want to cancel this order?","Êtes-vous sûr d'annuler cette commande?"
"Author","Auteur"
"Authorization Amount","Montant de l'autorisation"
"Authorization Failed","Autorisation a échouée"
"Authorization Method","Mode d'autorisation"
"Authorization Number","Numéro d'autorisation"
"Authorization Status","État de l'autorisation"
"Authorization is uncertain.","Autorisation est incertaine"
"Authorized Status","Statut autorisé"
"Await Notification","Attendre la notification"
"Awaiting confirmation","En attente de confirmation"
"BIC","BIC"
"Bad signature format.","Format de signature incorrect"
"Bank Location","Lieu de la banque"
"Bank Name","Nom de la banque"
"Bank account number","Número du compte bancaire"
"Bank code number","Numéro de code banquaire"
"Bank does not support AVS.","La banque ne supporte pas AVS."
"Before payment selection","Avant la sélection du mode de paiement"
"Before showing the payment method","Avant de choisir le mode de paiement"
"Billing Address","Adresse de facturation"
"Billing Information","Information de facturation"
"Billing address","Billing address"
