"* Required Fields","* campo obbligatorio"
"-- No Status Change --","-- Nessun cambiamento di stato --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentication"
"3D Secure failed","3D Secure fallito"
"3D Secure sucess","La verifica 3D Secure é andata a buon fine"
"A authorized transaction cannot be authorized again.","Una transazione autorizzata non può essere autorizzata di nuovo."
"A authorized transaction cannot be marked as failed.","Una transazione autorizzata non può essere contrassegnata come non riuscita."
"A cancelled transaction cannot be authorized.","Una transazione annullata non può essere autorizzata."
"A cancelled transaction cannot be cancelled again.","Una transazione cancellata non può essere cancellata nuovamente."
"A cancelled transaction cannot be captured.","Una transazione annullata non può essere registrata."
"A cancelled transaction cannot be marked as failed.","Una transazione annullata non può essere contrassegnato come fallita."
"A cancelled transaction cannot be refunded.","Una transazione cancellata non può essere rimborsata."
"A captured transaction cannot be authorized.","Una transazione registrata non può essere autorizzata."
"A captured transaction cannot be cancelled.","Una transazione registrata non può essere annullata."
"A captured transaction cannot be marked as failed.","Una transazione registrata non può essere contrassegnata come non riuscita."
"A failed authorization cannot be authorized.","Una autorizzazione fallita non può essere autorizzata."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Alcuni metodi di pagamento non sono disponibili in alcuni paesi. E` possibile definire il momento in cui il controllo della disponibilità deve essere eseguito. Si consiglia di mettere su 'Durante l'autorizzazione'."
"A refund was added over !amount.","Un rimborso é stato aggiunto a !amount."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transazione può essere incerta, quando il pagamento non é garantito. Per esempio nel caso la carta di credito non partecipa alla procedura 3D."
"AVS data is invalid or AVS is not allowed for this card type.","Dati AVS non validi o AVS non é consentito per questo tipo di scheda."
"About","A proposito di"
"Account Holder Name","Intestatario del conto"
"Account owner name.","Intestatario del conto"
"Action","Azione"
"Actions","Azioni"
"Activate","Activate"
"Activate the payment method and test.","Attiva il metodo di pagamento e provalo."
"Active","Attivo"
"Additional Information","Ulteriori informazioni"
"Address Verification Result","Risultato della verifica degli indirizzi"
"Address information unavailable. Returned if the U.S. bank does not support non-U.S. AVS or if the AVS in a U.S. bank is not functioning properly.","Informazioni sull'indirizzo non disponibili. Viene restituito se la banca americana non supporta AVS o AVS non funziona correttamente in una banca americana."
"Address not verified.","L'indirizzo non é stato verificato"
"Adjust Qty","Regolare la quantità"
"Adjustment Discount","Regolazione del discount"
"Adjustment Fee","Costi di adeguamento"
"After payment selection","Dopo la scelta del pagamento"
"After selecting the payment method","Dopo aver selezionato il metodo di pagamento"
"Ajax authorization not supported.","Autorizzazione Ajax non supportata."
"Alias","Alias"
"Alias For Display","Alias da visualizzare"
"Alias Manager Account","Check out con un click (Alias Manager)"
"All Customers","Tutti i clienti"
"Allowed Currencies","Valute accettate"
"Allowed currencies for this payment method","Valute ammesse per questo metodo di pagamento"
"Already registered?","Già iscritto?"
"Always Checkout as Guest","Effettua il checkout sempre come ospite"
"American Express","American Express"
"Amount","Importo"
"Amount Incl. Tax","Importo tasse incluse"
"An SVG image (scalability) provided by the merchant. The image needs to be uploaded by using the Datatrans Web Administration Tool.","Un immagine SVG (scalabile) fornita dal rivenditore. L'immagine deve essere caricata usando il Datatrans Web Administration Tool."
"An error ocurred.","An error ocurred."
"Are you sure you want to cancel this order?","Sei sicuro di voler cancellare questo ordine?"
"Author","Autore"
"Authorization Amount","Importo autorizzazione"
"Authorization Failed","Autorizzazione non riuscita"
"Authorization Method","Metodo di autorizzazione"
"Authorization Number","Numero di autorizzazione"
"Authorization Status","Status di autorizzazione"
"Authorization is uncertain.","Autorizzazione incerta"
"Authorized Status","Status autorizzato"
"Await Notification","Attendi la notifica"
"Awaiting confirmation","In attesa di conferma"
"BIC","BIC"
"Bad signature format.","Bad signature format."
"Bank Location","Posizione della banca"
"Bank Name","Nome della banca"
"Bank account number","Numero IBAN"
"Bank code number","Numero del codice bancario"
"Bank does not support AVS.","Banca non supporta AVS."
"Before payment selection","Prima della selezione del pagamento"
"Before showing the payment method","Prima di selezionare un metodo di pagamento"
"Billing Address","Billing Address"
"Billing Information","Dati di fatturazione"
"Billing address","indirizzo di fatturazione"
"Billing address is sent","Invia l'indirizzo di fatturazione"
"Bonuscard","Bonuscard"
"Brand Color","Colore della marca"
"Brand Name","Brand Name"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"CVC Code","Codice CVC"
"CVC: The user is asked for the CVC. (default)","CVC: Viene chiesto all'utente il CVC (standard)"
"Cancel","Interrompere"
"Cancel ID","Cancel ID"
"Cancel failed with an unknown error.","Cancellazione non riuscita con un errore sconosciuto."
"Cancel pending orders when out of stock","Cancellare gli ordini pendenti quando fuori stock."
"Cancel status","Status di cancellazione"
"Canceled DatatransCw","____ModuleCamel___ annullato"
"Canceling of this payment not possible!","Questo pagamento non può essere cancellato!"
"Cancelled Status","Status annullato"
"Cancelled by the customer.","Annullato dal cliente."
"Cannot update item quantity.","Impossibile aggiornare la quantità dell'articolo."
"Capture Amount","Capture Amount"
"Capture ID","Capture ID"
"Capture amount","Importo contabilizzato"
"Capture information","Informazione della contabilizzazione"
"Capture status","Status di registrazione"
"Capture: Don't Close","Registrazione: Non chiudere"
"Captured Amount","Importo riconosciuto"
"Captured Status","Status registrato"
"Captures","Acquisizione"
"Captures & Refunds","Registrazioni & Rimborsi"
"Capturing","Contabilizzare"
"Card Expiration","Carta di data di scadenza"
"Card Expiry","Data di scadenza della carta"
"Card Holder","Titolari di carte"
"Card Holder Name","Titolari di carte"
"Card Number","Numero di carta"
"Card member's name and billing address match, but billing postal code does not match.","Nome del titolare della carta e indirizzo di fatturazione corrispondono. Codice postale non corrisponde."
"Card member's name and billing postal code match, but billing address does not match.","Nome del titolare della carta e indirizzo di fatturazione corrispondono. Codice postale non corrisponde."
"Card member's name does not match, but billing postal code matches.","Codice postale corrisponde. Nome del titolare della carta non corrisponde."
"Card member's name does not match, but street address matches.","Strada corrisponde. Nome del titolare della carta non corrisponde."
"Card member's name does not match. Street address and postal code match.","Strada e codice postale corrispondono. Nome del titolare della carta non corrisponde."
"Card member's name matches but billing address and billing postal code do not match.","Il nome del titolare della carta corrisponde, ma l'indirizzo di fatturazione e il codice postale non corrispondono."
"Card member's name, billing address, and billing postal code match.","Nome del titolare della carta, indirizzo di fatturazione e codice postale corrispondono."
"Card member's name, billing address, and postal code match.","Nome del titolare della carta, indirizzo di fatturazione e codice postale corrispondono."
"Card number must not be empty.","Il numero della carta é obbligatorio"
"Carrier Title","Titolo del trasportatore"
"Check out faster","Effettua il checkout più velocemente"
"Check to activate the external checkout.","Selezionare questa opzione per attivare il checkout esterno."
"Checkout","Checkout"
"Checkout as Guest","Checkout come ospite"
"Checkout as a Guest or Register","Checkout come ospite o iscriviti"
"Checkout as a new customer","Effettua il checkout come nuovo cliente"
"Checkout using your account","Effettua il checkout utilizzando il tuo account"
"Checkout with MasterPass.","Pagare con MasterPass"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Seleziona 'Creazione dopo l'ordine' se vuoi che la fattura venga creata. Lo status della fattura sarà impostato secondo lo status della registrazione. Per i pagamenti acquisiti, viene sempre creata una fattura."
"Company Commercial Number","Numero commerciale dell'azienda"
"Company Registry Number","Numero di registrazione dell'azienda"
"Confirm Password","Conferma la password"
"Continue","Continua"
"Copy the URL Post that you find below (notification URL) into the Datatrans Backend (Section UPP Administration > UPP Data).","Copia l'URL Post che trovi di seguito (URL di notifica) nel backend di Datatrans  (Section UPP Administration > UPP Data)."
"Could not convert object of type '!type' to string.","Impossibile convertire l'oggetto di tipo '!type' in  string."
"Could not find a brand for the given card number.","Impossibile trovare un marchio in base al numero di carta fornito."
"Could not find an adapter for the authorization method !methodName.","Non é stato possibile trovare un adattatore per autorizzare il metodo !methodName."
"Could not find an adapter for the authoriztion method !methodName.","Impossibile trovare un adattatore per il metodo di autorizzazione !methodName."
"Could not find pressed button.","Impossibile trovare il pulsante premuto."
"Could not find template file at default location '!location'.","Impossibile trovare il file template nella posizione di default '!location'."
"Could not find the payment method !paymentMethodName.","Impossibile trovare il metodo di pagamento !paymentMethodName."
"Could not load layout from URL !url. Reason: !reason","Impossibile caricare il layout dall' URL !url. motivo: !reason"
"Create Account","Crea un account"
"Create New Order - Payment","Crea un nuovo ordine - Pagamento"
"Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Creating an account has many benefits:","I numerosi vantaggi di creare un account:"
"Creation Date","Data di creazione"
"Credit Card Brands","Marche Carta di Credito"
"Credit Card Customer Country","Paese di emissione della carta di credito"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Il totale di nota di credito deve essere positivo."
"CreditPass Purchase Type","CreditPass Purchase Type"
"Currency","Valuta"
"Currency !currency not supported, must be CHF","Valuta  !currency non supportata, deve essere in CHF"
"Current Configuration Scope:","Attuale ambito di configurazione:"
"Customer Account","Account cliente"
"Customer Address","L'indirizzo del cliente"
"Customer Alias Management","Gestione dell'Alias del cliente"
"Customer successfully returned from DatatransCw","Il cliente é tornato con successo da DatatransCw."
"Customer successfully returned from Datatrans","Cliente rimandato con successo dalla pagina di pagamento ____ ModuleCamel____."
"Customer sucessfully returned from the DatatransCw payment page.","Customer sucessfully returned from the DatatransCw payment page."
"Customers","Clienti"
"Customweb","Customweb"
"Dankort","Dankort"
"Date","Data"
"Date of Birth","Data di nascita"
"Day","Giorno"
"Deactivate","Deactivate"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Gentile cliente abbiamo ricevuto le sue informazioni  di  fatturazione e  spedizione. Per concludere il tuo ordine,  vai alla cassa, crea un nuovo accesso o effettua il checkout come ospite."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Gentile cliente, il suo pagamento sembra andato a buon fine, tuttavia siamo ancora in attesa di conferma. Può aspettare su questa pagina e la reindirizzeremo dopo che avremo ricevuto la conferma. Oppure può chiudere questa finestra e le invieremo una e-mail di conferma dell'ordine."
"Decides if the pay button should have the same color as the brandColor. Possible Values: &quot;true&quot; or &quot;false&quot;. If set to false the hex color #01669F will be used as a default.","Decidi se il colore del pulsante deve essere lo stesso colore della marca. Valori possibili: &quot;true&quot; o &quot;false&quot;. Se é impostato su 'falso', sarà utilizzato il colore color #01669F di default."
"Decides whether the logo shall be styled with a border around it, if the value is true the default background color is chosen, else the provided string is used as color value. Possible values: colors in hexadecimal code (#FFFFFF) or &quot;true&quot; or &quot;false&quot;","Decidi se il logo deve avere un bordo, se il valore é vero sarà scelto il colore di default per lo sfondo, altrimenti potrai indicare il colore desiderato. Valori possibili: colori in codice esadecimale (#FFFFFF) o &quot;true&quot; or &quot;false&quot;"
"Default Account","Account predefinito"
"Default Config","Configurazione predefinita"
"Default Values","Valori standard"
"Deferred","Ritardato"
"Deferred (authorization)","Deferred (authorization)"
"Deferred capturing","Registrazione ritardata"
"Deferred settlement","Creazione ritardata"
"Define a maximal order total for this checkout to be available.","Definire un ordine totale massimo al fine che questo checkout sia disponibile."
"Define a minimal order total for this checkout to be available.","Definire un ordine totale minimo al fine che questo checkout sia disponibile."
"Delayed","Ritardato"
"Delete","Cancellare"
"Delivery address","Indirizzo di consegna"
"Delivery address is sent","Invia indirizzo spedizione"
"Description","Descrizione"
"Diners Club","Diners Club"
"Direct Debits","Direct Debits"
"Direct E-Banking","Direct E-Banking"
"Direct capture after order","Subito dopo l'acquisto"
"Directly after order","Subito dopo l'acquisto"
"Directly after order (sale)","Directly after order (sale)"
"Disabled","Disattivato"
"Discount","Sconto"
"Discount Amount","Sconto"
"Do not mark them","Non marcare"
"Don't change order status","Non cambiare lo stato dell'ordine"
"During authorization","Durante l'autorizzazione"
"During the authorization","Durante l'autorizzazione"
"ESR Data","ESR Data"
"EasyPay Title","EasyPay Title"
"Edit","Modifica"
"Edit Invoice %s","Modifica la fattura %s"
"Email Address","Indirizzo email"
"Empty version number field name","Campo del numero vuoto"
"Enable or disable logging.","Attiva o disattiva logging."
"Enable the payment method","Attiva la modalità di pagamento"
"Enabled","Attivato"
"Enter the Live MerchantID.","Inserisci il Live MerchantID."
"Enter the date on which your card expires.","Inserisci la data di scadenza della carta."
"Error during Update: !msg","Errore durante l'aggiornamento: !msg"
"Error with the length of the validation date.","Error with the length of the validation date."
"ErrorCode: !code","ErrorCode: !code"
"Excl. Tax","Escl. tasse"
"External Checkout","Checkout esterno"
"External Checkout: Guest Checkout","Checkout esterno: Checkout da ospite"
"Failed","Non andato a buon fine"
"Failed payment authorization.","L'autorizzazione é stata rifiutata."
"Female","Femmina"
"Figure !number:","Figure !number:"
"Forgot Your Password?","Hai dimenticato la password?"
"Forgot your password?","Hai dimenticato la password?"
"Gender","Genere"
"German ELV transactions can be processed with an integrated credit and address check. The merchant has to agree with CreditPass (Telego) the test rules. The test rule is referred to by a 'Purchase Type'. If you don't want to use this feature, you can leave this field empty.","Le transazioni tedesche ELV possono essere processate con la verifica degli indirizzi e credito. Il commerciante deve essere d'accordo con i test rules di CreditPass (Telego). Con la definizione del 'Tipo di Acquisto', la prova di solito deve essere specificata. Se non si desidera utilizzare la funzione, é possibile lasciare il campo vuoto."
"Get Update","Aggiorna"
"Header Color","Colore dell'header"
"Here you can define a Shop ID. This is only necessary if you wish to operate several shops with one Datatrans account. In order to use this module, an additional module is required.","Qui é possibile definire un ID Shop, necessario solo se si desidera utilizzare diversi negozi con una PSPID. Per utilizzare questo modulo, é richiesto un modulo aggiuntivo."
"Here you can insert a transaction prefix. The prefix allows you to change the transaction number that is transmitted to Datatrans. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Qui è possibile inserire un prefisso d'ordine. Il prefisso consente di cambiare il numero d'ordine che viene trasmesso a Datatrans .  Il profilo deve contenere il tag {id}. Il prefisso sarà poi sostituito dal numero d'ordine (es. name-{id}). Non utilizzare '_'."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
